# u |D(u)|
2.370523157697356220e-01 2.673147002291347625e-04
2.372898306144134162e-01 2.525059008291258484e-04
2.375273454590912103e-01 2.803746193280996107e-04
2.377648603037689767e-01 3.257731959128946984e-04
2.380023751484467986e-01 3.581015090910238323e-04
2.382398899931245650e-01 3.611834278841020117e-04
2.384774048378023870e-01 3.336092260329738698e-04
2.387149196824801534e-01 2.884209486122854093e-04
2.389524345271579475e-01 2.536176828560620950e-04
2.391899493718357417e-01 2.584698346705017091e-04
2.394274642165135358e-01 2.980113412070683403e-04
2.396649790611913300e-01 3.403193407320798179e-04
2.399024939058691241e-01 3.607173293590622493e-04
2.401400087505469183e-01 3.497708998624691058e-04
2.403775235952247125e-01 3.122710511229121974e-04
2.406150384399025066e-01 2.678308547264454252e-04
2.408525532845803008e-01 2.482925438967608007e-04
2.410900681292580949e-01 2.713527972865347393e-04
2.413275829739358613e-01 3.157148828780450113e-04
2.415650978186136832e-01 3.502309617687066534e-04
2.418026126632914496e-01 3.571161178474868561e-04
2.420401275079692716e-01 3.332772748637898648e-04
2.422776423526470380e-01 2.897587441020429348e-04
2.425151571973248321e-01 2.524887729619662829e-04
2.427526720420026263e-01 2.518769245065767613e-04
2.429901868866804204e-01 2.881566437610052480e-04
2.432277017313582146e-01 3.310346296321366459e-04
2.434652165760360087e-01 3.545080658139453458e-04
2.437027314207138029e-01 3.475183699306836900e-04
2.439402462653915971e-01 3.130868631775162976e-04
2.441777611100693912e-01 2.686808139291566402e-04
2.444152759547471854e-01 2.448796696751094040e-04
2.446527907994249795e-01 2.629294229419133332e-04
2.448903056441027737e-01 3.058135534604359499e-04
2.451278204887805678e-01 3.421907313246299524e-04
2.453653353334583342e-01 3.527112406312856948e-04
2.456028501781361562e-01 3.326409990009165365e-04
2.458403650228139226e-01 2.911127915837343253e-04
2.460778798674917167e-01 2.519495881779640800e-04
2.463153947121695109e-01 2.460625470692835541e-04
2.465529095568473050e-01 2.786942630148049886e-04
2.467904244015250992e-01 3.217413545138591950e-04
2.470279392462028933e-01 3.480338780726363363e-04
2.472654540908806875e-01 3.449156340648333531e-04
2.475029689355584817e-01 3.137001603240765330e-04
2.477404837802362758e-01 2.697871741022250520e-04
2.479779986249140700e-01 2.422268544730461466e-04
2.482155134695918641e-01 2.551379637923970804e-04
2.484530283142696583e-01 2.961076079507983625e-04
2.486905431589474524e-01 3.340081440777631794e-04
2.489280580036252188e-01 3.479811210715886009e-04
2.491655728483030408e-01 3.316874162912763504e-04
2.494030876929808072e-01 2.924280895383382368e-04
