# tau K_raw K_smooth K_GUE
3.382254836557705424e-01 3.908291388554156476e-01 2.026746741964547405e-01 3.382254836557705424e-01
3.402268178785857744e-01 3.378069722841828965e-02 2.028377195978959824e-01 3.402268178785857744e-01
3.422281521014009509e-01 2.623315930286849174e-01 2.011005304495284696e-01 3.422281521014009509e-01
3.442294863242161829e-01 8.097156683896279336e-03 2.126071457151917088e-01 3.442294863242161829e-01
3.462308205470313593e-01 1.537951855707718821e-02 2.164598807610665365e-01 3.462308205470313593e-01
3.482321547698465913e-01 1.186936191934290785e-01 2.360963790737621304e-01 3.482321547698465913e-01
3.502334889926618233e-01 2.833544394706864478e-01 2.388834727241825329e-01 3.502334889926618233e-01
3.522348232154769998e-01 6.898258872114335638e-01 2.553327745604811461e-01 3.522348232154769998e-01
3.542361574382922318e-01 1.444127443937746336e-01 2.728785026086597010e-01 3.542361574382922318e-01
3.562374916611074083e-01 8.453238882608904436e-01 2.845697514378775494e-01 3.562374916611074083e-01
3.582388258839226403e-01 7.939756702946240696e-02 2.819765961806943722e-01 3.582388258839226403e-01
3.602401601067378722e-01 1.285231711629440110e-01 3.089911940015768188e-01 3.602401601067378722e-01
3.622414943295530487e-01 4.057923194169867770e-02 3.085644594305674837e-01 3.622414943295530487e-01
3.642428285523682807e-01 2.425226720627943200e-02 3.138479498428444203e-01 3.642428285523682807e-01
3.662441627751835127e-01 2.173597358666059798e-01 3.144019812629427202e-01 3.662441627751835127e-01
3.682454969979986892e-01 7.960956212009436817e-01 3.165578616810652557e-01 3.682454969979986892e-01
3.702468312208139212e-01 2.772217893552008094e-01 3.239607260416947909e-01 3.702468312208139212e-01
3.722481654436290976e-01 1.231180266102680637e-01 3.207617867583523186e-01 3.722481654436290976e-01
3.742494996664443296e-01 1.351141418400903516e-01 3.299625131338493889e-01 3.742494996664443296e-01
3.762508338892595616e-01 4.447714804963415897e-02 3.469713565456532534e-01 3.762508338892595616e-01
3.782521681120747381e-01 1.008282708988291199e-01 3.400067158737323236e-01 3.782521681120747381e-01
3.802535023348899701e-01 1.542632566449700648e-01 3.363985601285034432e-01 3.802535023348899701e-01
3.822548365577051466e-01 4.670783400142508590e-02 3.410509121426996693e-01 3.822548365577051466e-01
3.842561707805203786e-01 5.770019861347863710e-01 3.563939006608611848e-01 3.842561707805203786e-01
3.862575050033356105e-01 4.569683754810219267e-01 3.775093057521192730e-01 3.862575050033356105e-01
3.882588392261507870e-01 8.166469528192863425e-01 3.921569968204371426e-01 3.882588392261507870e-01
